"DEAL","TAG","POSITION_SC_DATE_ADJUSTED","FUND_NAME","STRATEGY","SUB_STRATEGY","ACTIVE_HEDGE","BOOK_NAME","CASH_BALANCE","GL_NAV_FOR_BOOK","GL_NAV","DAILY_PNL","MTD_PNL","YTD_PNL","ITD_PNL"
"N/A","SRT","1/31/2024","Alternative Fund Alpha I Co-Invest Fund LP","Asset-Based Capital Solutions","SRT","Active","Alpha_Active","","319329102.37","319329102.37","68453.72","3704078.72","3704078.72","4229102.37"
"N/A","N/A","1/31/2024","Alternative Fund Alpha I Co-Invest Fund LP","","","","","","","319329102.37","0.00","0.00","0.00","0.00"
"N/A","N/A","1/31/2024","Alternative Fund Alpha II Co-Invest Fund LP","","","","","","","136911524.73","0.00","0.00","0.00","0.00"
"N/A","SRT","1/31/2024","Alternative Fund Alpha II Co-Invest Fund LP","Asset-Based Capital Solutions","SRT","Active","Alpha_Active","","136911524.73","136911524.73","26202.58","1584327.58","1584327.58","1811524.73"
"N/A","N/A","1/31/2024","Alternative Fund Beta Opt-In Co-Invest Fund LP","","","","","","","111630099.97","0.00","0.00","0.00","0.00"
"N/A","Cash","1/31/2024","Alternative Fund Beta Opt-In Co-Invest Fund LP","Operating ","Cash","Missing Active Hedge","Cash","0.00","","111630099.97","0.00","0.00","0.00","0.00"
"N/A","Cash","1/31/2024","Alternative Fund Beta Opt-In Co-Invest Fund LP","Operating ","Cash","Missing Active Hedge","Expenses","-65497.06","-37282.93","111630099.97","-12309.65","-12554.65","-12554.65","-37282.93"
"N/A","Convertible Inv.","1/31/2024","Alternative Fund Beta Opt-In Co-Invest Fund LP","Other","Convertible Investment Agreement","Active","CIA-LCM","114160.00","10114160.00","111630099.97","0.00","0.00","0.00","0.00"
"N/A","Cash","1/31/2024","Alternative Fund Beta Opt-In Co-Invest Fund LP","Operating ","Cash","Missing Active Hedge","Financing","67930.41","67950.90","111630099.97","40.73","635.24","635.24","67950.90"
"N/A","SRT","1/31/2024","Alternative Fund Beta Opt-In Co-Invest Fund LP","Asset-Based Capital Solutions","SRT","Active","Alpha_Active","143126.00","101485272.00","111630099.97","1175524.70","1175524.70","1175524.70","1342146.00"
"ECM","Block","1/31/2024","Alternative Fund Opportunistic Alternative Solutions Holdings II Fund LP","Capital Market Solutions","Unregistered Blocks","Missing Active Hedge","CAVA_Unregistered Block 2","","","90233793.71","0.00","0.00","0.00","0.00"
"ECM","Block","1/31/2024","Alternative Fund Opportunistic Alternative Solutions Holdings II Fund LP","Capital Market Solutions","Registered Block","Missing Active Hedge","SRGY_Registered Block","-2718.27","-2718.27","90233793.71","0.00","3194.59","3194.59","-2718.27"
"ECM","Financing","1/31/2024","Alternative Fund Opportunistic Alternative Solutions Holdings I Fund LP","Capital Market Solutions","Financing","Missing Active Hedge","Financing","-433304.15","5931.32","732012.49","2156.15","2156.15","2156.15","5931.32"
"ECM","IPO","1/31/2024","Alternative Fund Opportunistic Alternative Solutions Holdings I Fund LP","Capital Market Solutions","IPO","Missing Active Hedge","MNR_IPO","-412141.69","-59261.44","732012.49","1380.75","26349.73","26349.73","-59261.44"
"ECM","Follow-On","1/31/2024","Alternative Fund Opportunistic Alternative Solutions Holdings I Fund LP","Capital Market Solutions","Overnight Follow-On","Missing Active Hedge","DKL_Overnight FO","","","732012.49","0.00","0.00","0.00","0.00"
"ECM","Block","1/31/2024","Alternative Fund Opportunistic Alternative Solutions Holdings II Fund LP","Capital Market Solutions","Registered Block","Missing Active Hedge","RVNC_Registered Block","","","90233793.71","0.00","0.00","0.00","0.00"
"ECM","Block","1/31/2024","Alternative Fund Opportunistic Alternative Solutions Holdings II Fund LP","Capital Market Solutions","Desk Block","Missing Active Hedge","VICI_Desk Block","-2105.14","-2105.14","90233793.71","0.00","0.00","0.00","-2105.14"
"ECM","Financing","1/31/2024","Alternative Fund Opportunistic Alternative Solutions Holdings I Fund LP","Capital Market Solutions","Financing","Missing Active Hedge","Capital","1029323.65","1029323.65","732012.49","0.00","0.00","0.00","0.00"
"ECM","Block","1/31/2024","Alternative Fund Opportunistic Alternative Solutions Holdings II Fund LP","Capital Market Solutions","Registered Block","Missing Active Hedge","BROS_Registered Block","","","90233793.71","0.00","0.00","0.00","0.00"
"ECM","Block","1/31/2024","Alternative Fund Opportunistic Alternative Solutions Holdings II Fund LP","Capital Market Solutions","Registered Block","Missing Active Hedge","BECN_Registered Block","2716.13","2716.13","90233793.71","0.00","2716.13","2716.13","2716.13"
"ECM","Block","1/31/2024","Alternative Fund Opportunistic Alternative Solutions Holdings II Fund LP","Capital Market Solutions","Unregistered Blocks","Missing Active Hedge","UTI_Unregistered Block","","","90233793.71","0.00","0.00","0.00","0.00"
"ECM","Financing","1/31/2024","Alternative Fund Opportunistic Alternative Solutions Holdings I Fund LP","Capital Market Solutions","Financing","Missing Active Hedge","ECM","","-516.29","732012.49","0.00","0.00","0.00","-516.29"
"ECM","Financing","1/31/2024","Alternative Fund Opportunistic Alternative Solutions Holdings I Fund LP","Capital Market Solutions","Financing","Missing Active Hedge","Expenses","-181.01","-114.18","732012.49","-114.18","-114.18","-114.18","-114.18"
"ECM","Follow-On","1/31/2024","Alternative Fund Opportunistic Alternative Solutions Holdings II Fund LP","Capital Market Solutions","Overnight Follow-On","Missing Active Hedge","WB_Overnight FO_ Convert","-215722.20","-14169.51","90233793.71","832.89","-29336.31","-29336.31","-14169.51"
"ECM","Follow-On","1/31/2024","Alternative Fund Opportunistic Alternative Solutions Holdings II Fund LP","Capital Market Solutions","Overnight Follow-On","Missing Active Hedge","HRTG_Overnight FO","-97377.28","-14250.55","90233793.71","-1285.32","-2000.91","-2000.91","-14250.55"
"ECM","Block","1/31/2024","Alternative Fund Opportunistic Alternative Solutions Holdings II Fund LP","Capital Market Solutions","Registered Block","Missing Active Hedge","AGYS_Registered Block","","","90233793.71","0.00","0.00","0.00","0.00"
"ECM","Block","1/31/2024","Alternative Fund Opportunistic Alternative Solutions Holdings II Fund LP","Capital Market Solutions","Unregistered Blocks","Missing Active Hedge","ALGM_Unregistered Block","","","90233793.71","0.00","0.00","0.00","0.00"
"ECM","Block","1/31/2024","Alternative Fund Opportunistic Alternative Solutions Holdings II Fund LP","Capital Market Solutions","Registered Block","Missing Active Hedge","BARC_Registered Block","-15236.03","-14997.34","90233793.71","-5.62","-7264.15","-7264.15","-14997.34"
"ECM","Block","1/31/2024","Alternative Fund Opportunistic Alternative Solutions Holdings II Fund LP","Capital Market Solutions","Unregistered Blocks","Missing Active Hedge","OWL_Unregistered Block","","","90233793.71","0.00","0.00","0.00","0.00"
"ECM","Block","1/31/2024","Alternative Fund Opportunistic Alternative Solutions Holdings II Fund LP","Capital Market Solutions","Registered Block","Missing Active Hedge","TPG_Registered Block","","","90233793.71","0.00","0.00","0.00","0.00"
"ECM","Financing","1/31/2024","Alternative Fund Opportunistic Alternative Solutions Holdings II Fund LP","Capital Market Solutions","Financing","Missing Active Hedge","Expenses","-14160.87","-43595.26","90233793.71","-8356.87","-8356.87","-8356.87","-43595.26"
"ECM","Follow-On","1/31/2024","Alternative Fund Opportunistic Alternative Solutions Holdings II Fund LP","Capital Market Solutions","Overnight Follow-On","Missing Active Hedge","SWTX_Overnight FO","9931.76","9931.76","90233793.71","0.00","0.00","0.00","9931.76"
"ECM","IPO","1/31/2024","Alternative Fund Opportunistic Alternative Solutions Holdings II Fund LP","Capital Market Solutions","IPO","Missing Active Hedge","CGON_IPO","36950.55","36950.55","90233793.71","0.00","36950.55","36950.55","36950.55"
"ECM","Follow-On","1/31/2024","Alternative Fund Opportunistic Alternative Solutions Holdings II Fund LP","Capital Market Solutions","Marketed Follow-On","Missing Active Hedge","SEAT_Marketed FO","-308715.74","-30261.14","90233793.71","-5487.38","-28888.51","-28888.51","-30261.14"
"ECM","Follow-On","1/31/2024","Alternative Fund Opportunistic Alternative Solutions Holdings II Fund LP","Capital Market Solutions","Overnight Follow-On","Missing Active Hedge","DRS_Overnight FO","8632.50","8632.50","90233793.71","0.00","0.00","0.00","8632.50"
"ECM","Block","1/31/2024","Alternative Fund Opportunistic Alternative Solutions Holdings II Fund LP","Capital Market Solutions","Registered Block","Missing Active Hedge","CNM_Registered Block 4","-148553.76","657.96","90233793.71","-3323.04","657.96","657.96","657.96"
"ECM","Follow-On","1/31/2024","Alternative Fund Opportunistic Alternative Solutions Holdings II Fund LP","Capital Market Solutions","Overnight Follow-On","Missing Active Hedge","ASTS_Overnight FO","7807.20","7807.20","90233793.71","0.00","7807.20","7807.20","7807.20"
"ECM","Block","1/31/2024","Alternative Fund Opportunistic Alternative Solutions Holdings II Fund LP","Capital Market Solutions","Unregistered Blocks","Missing Active Hedge","NXT_Unregistered Block","","","90233793.71","0.00","0.00","0.00","0.00"
"ECM","Block","1/31/2024","Alternative Fund Opportunistic Alternative Solutions Holdings II Fund LP","Capital Market Solutions","Unregistered Blocks","Missing Active Hedge","DNB_Unregistered Block","3142.30","3142.30","90233793.71","0.00","0.00","0.00","3142.30"
"ECM","Follow-On","1/31/2024","Alternative Fund Opportunistic Alternative Solutions Holdings II Fund LP","Capital Market Solutions","Overnight Follow-On","Missing Active Hedge","SGRO LN_Overnight FO","","","90233793.71","0.00","0.00","0.00","0.00"
"ECM","Follow-On","1/31/2024","Alternative Fund Opportunistic Alternative Solutions Holdings II Fund LP","Capital Market Solutions","Overnight Follow-On","Missing Active Hedge","PRME_Overnight FO","","","90233793.71","0.00","0.00","0.00","0.00"
"ECM","Block","1/31/2024","Alternative Fund Opportunistic Alternative Solutions Holdings II Fund LP","Capital Market Solutions","Registered Block","Missing Active Hedge","GEHC_Registered Block","","","90233793.71","0.00","0.00","0.00","0.00"
"ECM","Follow-On","1/31/2024","Alternative Fund Opportunistic Alternative Solutions Holdings II Fund LP","Capital Market Solutions","Marketed Follow-On","Missing Active Hedge","SPHR_Marketed FO_Convert","-271854.03","108133.80","90233793.71","2862.86","2922.93","2922.93","108133.80"
"ECM","IPO","1/31/2024","Alternative Fund Opportunistic Alternative Solutions Holdings II Fund LP","Capital Market Solutions","IPO","Missing Active Hedge","KSPI_IPO","847.48","847.48","90233793.71","0.00","847.48","847.48","847.48"
"ECM","Block","1/31/2024","Alternative Fund Opportunistic Alternative Solutions Holdings II Fund LP","Capital Market Solutions","Registered Block","Missing Active Hedge","DELL_Registered Block","","","90233793.71","0.00","0.00","0.00","0.00"
"ECM","IPO","1/31/2024","Alternative Fund Opportunistic Alternative Solutions Holdings II Fund LP","Capital Market Solutions","IPO","Missing Active Hedge","AS_IPO","","-8.52","90233793.71","-8.52","-8.52","-8.52","-8.52"
