"TRADE_ID","TRADE_CANCELED","FUND_NAME","CUSTODIAN_ACCT_DIS_NAME","BOOK_NAME","TRADE_DESC","BB_YELLOW_KEY","TRADE_DATE","SETTLE_DATE","TXN_TYPE","NOTIONAL_QUANTITY","TRADE_PRICE","NOTIONAL_NET_PROCEEDS","COUNTERPARTY","EXTERNAL_REFERENCE","GROSS_COMMISSION","FEES","COMMISSION_PER_SHARE","TRADE_MODIFY_DATE","ABSOLUTE_TRADING_NOTIONAL_NET_PROCEEDS","END_BROKER_COMMISSIONS","FCM_CLEARING_MARKUP","FEES_AND_COMMISSIONS","GROSS_COMMISSIONS","GROSS_FEES","GROSS_TAXES","IMPLIED_COMMISSIONS","IMPLIED_FEES","IMPLIED_TAXES","INITIAL_MARGIN","NSA_FEE","NET_COMMISSIONS","NET_GST","NET_TRADE_PRICE","PIT_FEES","TRADE_EXCHANGE_FEES","TRADING_NET_PROCEEDS","TRADING_NOTIONAL_NET_PROCEEDS","TRANSFER_ACCRUED_DIVIDENDS","TRANSFER_ACCRUED_DIVIDENDS_WITHHOLDING_TAX","TRANSFER_ACCRUED_INTEREST","TRANSFER_FX_REALIZED","TRANSFER_FEES_AND_COMMISSIONS","TRANSFER_FINANCING_ACCRUED_INTEREST","TRANSFER_FINANCING_INTEREST","TRANSFER_INTEREST","TRANSFER_PAID_DIVIDENDS","TRANSFER_PAID_DIVIDENDS_WITHHOLDING_TAX","TRANSFER_TRADING_REALIZED","ACCRUED_INTEREST","ACCRUED_INTEREST_OVERRIDE","ACCRUED_INTEREST_WH_TAX","ACCRUED_SETTLE_TO_BASE_CCY_FX_RATE","ACCRUED_TRADE_TO_BASE_CCY_FX_RATE","ACCRUED_TRADE_TO_SETTLE_CCY_FX_RATE","ADJUSTED_PARENT_TRADE_ID","BORROW_AGREEMENT_CURRENCY","BORROW_AGREEMENT_DESCRIPTION","BORROW_AGREEMENT_ID","ALLOCATED_TRADES_ACCOUNT_ID","ALLOCATED_TRADES_ACCOUNTS","ALLOCATED_TRADES_BOOK_ID","ALLOCATED_TRADES_BOOK","ALLOCATED_TRADES_CUSTODIAN","ALLOCATED_TRADES_CUSTODIAN_ID","ALLOCATED_TRADES_CUSTODIAN_SHORT_NAME","ALLOCATED_TRADES_FUND_ID","ALLOCATED_TRADES_SET_OF_CUSTODIAN_ID","ALLOCATED_TRADES_SET_OF_CUSTODIAN","ALLOCATION_INSTRUCTIONS","ALLOCATION_OPTIMIZATION","AMENDED_TRADE","ALLOCATED_TRADE","ALLOCATED_TRADES","ARCHIVE_DATE","ALLOCATED_TRADE_COUNT","ALLOCATED_TRADE_ALL_HAVE_FINANCING","ALLOCATED_TRADE_ALL_HAVE_BORROW","ADJUSTED_PRICE","ADJUSTED_ACTIVITY","BULK_OR_ALLOCATED","CLEARING_COMMISSION_RATE","CLEARING_COMMISSION_TYPE","COMMISSION_RATE","COMMISSION_TYPE","COMMISSION_AUTO_CALC","COMMISSIONS","COUNTERPARTY_ACCOUNT_NAME","COUNTERPARTY_ACCOUNT_NUMBER","COUNTERPARTY_AGENT_BIC_CODE","COUNTERPARTY_AGENT_DSS_CODE","COUNTERPARTY_AGENT_NAME","COUNTERPARTY_AGENT_SETTLEMENT_COUNTRY","COUNTERPARTY_BIC_CODE","COUNTERPARTY_COMMISSION_MAX_LIMIT","COUNTERPARTY_COMMISSION_MIN_LIMIT","COUNTERPARTY_CONTACT_NAME","COUNTERPARTY_CONTACT_ID","COUNTERPARTY_CONTACT_NAMES","COUNTERPARTY_COUNTRY_CODE","COUNTERPARTY_COUNTRY_NAME","EXECUTION_BROKER_SHORT_NAME","EXECUTION_COMMISSION","EXECUTION_COMMISSION_RATE","EXECUTION_COMMISSION_TYPE","EXERCISE_RATE","FAR_FIXING_DATE","FAR_FIXING_RATE","FAR_FX_RATE","FAR_COUNTER_CURRENCY","FAR_BASE_QUANTITY","UP_FRONT_FEE","FAIR_MARKET_VALUE","TRADING_NOTIONAL_PROCEEDS","TRADER","TRADE_TRS_START_DATE_OVERRIDE","TRADE_TRS_SPREAD_DATE_OVERRIDE_EFFECTIVE_RATE","TRADE_TRS_SPREAD_DATE_OVERRIDE_EFFECTIVE_DATE","TRADE_TRS_PAYMENT_RESET_RATE_METHOD_OVERRIDE","TRADE_TRS_PAYMENT_RESET_FREQUENCY_OVERRIDE","TRADE_TRS_PAYMENT_LEG_PAYMENT_FREQUENCY_OVERRIDE","TRADE_TRS_PAYMENT_ACCRUAL_METHOD_OVERRIDE","TRADE_TRS_FLOATING_RATE_LOOKBACK_DAYS_OVERRIDE","TRADE_TRS_FLOATING_RATE_INDEX_ID_OVERRIDE","TRADE_TRS_END_DATE_OVERRIDE","TRADE_FEE","TRADE_CURRENCY","TRADE_CREATE_DATE","TAXES","TRANSACTION_TYPE_SHORT","TRANSACTION_TYPE","TRADING_PROCEEDS","TRADING_TYPE","TRADING_TIME","TRS_RETURN_LEG_FIRST_RESET_DATE_AFTER_TRADE_DATE","TRS_PAY_LEG_FIRST_RESET_DATE_AFTER_TRADE_DATE","TRS_PAY_LEG_FIRST_PAYMENT_DATE_AFTER_TRADE_DATE","TRS_MATURITY_DATE_FOR_TRADE","TRS_CURRENT_RESET_SPREAD","T_3_BUSINESS_DAYS","SOFT_DOLLAR_COMMISSION","SIZE","SINKING_FACTOR_AS_OF_SETTLE_DATE","SETTLEMENT_DAYS","SEC_FEES","TRADE_SETTLEMENT_DAYS","TRS_LAST_CASH_DIVIDEND_TAX_RATE","TRS_LAST_CASH_DIVIDEND_TYPE","TRS_LAST_FX_RATE","TRS_LAST_FX_RATE_EFFECTIVE_DATE","TRS_LAST_FX_RATE_TERMINATION_DATE","TRS_LONG_SHORT","TRS_MERGE_TRS_AND_SECURITY_MASTER_CASH_DIVIDENDS","TRS_NOTIONAL_CURRENCY","TRS_NOTIONAL_CURRENCY_ID","TRS_NOTIONAL_CURRENCY_TYPE"
"535422979","FALSE","LuminArx Opportunistic Alternative Solutions Holdings II Fund LP","MS PB","Portfolio Hedge_Tactical","INVSC QQQ TRUST SRS 1 ETF","QQQ US Equity","1/31/24","2/2/24","Buy","722","420.83","-303842.87","Virtu Equity Algo","","-3.61","","-0.01","1/31/24 9:30:55 AM EST","303843","","","-3.61","-3.61","","","","","","0","","-3.61","","420.84","","","-303842.87","-303842.87","","","","","","","","","","","","","","","1","1","1","535422978","","","","","","","","","","","","","","","","TRUE","FALSE","[]","","0","FALSE","FALSE","420.83","722","Allocated","","","-0.5","Commission (Cents Per Share)","CommissionAutoCalc","0.005","","","","","","","","","","","","","Unknown","Unknown","","-3.61","-0.5","Commission (Cents Per Share)","","","","","","","","303839.26","-303839.26","diamant@luminarxcap.com","","","","","","","","","","","","USD","1/31/24 9:30:55 AM EST","","B","Buy","-303839.26","Regular Trade","","","","","","","3/13/24","0","722","","0","","","","","","","","","","","",""
"535422981","FALSE","LuminArx Pavo Holdings II LP","MS PB","Portfolio Hedge_Tactical","INVSC QQQ TRUST SRS 1 ETF","QQQ US Equity","1/31/24","2/2/24","Buy","278","420.83","-116992.13","Virtu Equity Algo","","-1.39","","-0.01","1/31/24 9:30:55 AM EST","116992","","","-1.39","-1.39","","","","","","0","","-1.39","","420.84","","","-116992.13","-116992.13","","","","","","","","","","","","","","","1","1","1","535422978","","","","","","","","","","","","","","","","TRUE","FALSE","[]","","0","FALSE","FALSE","420.83","278","Allocated","","","-0.5","Commission (Cents Per Share)","CommissionAutoCalc","0.005","","","","","","","","","","","","","Unknown","Unknown","","-1.39","-0.5","Commission (Cents Per Share)","","","","","","","","116990.74","-116990.74","diamant@luminarxcap.com","","","","","","","","","","","","USD","1/31/24 9:30:55 AM EST","","B","Buy","-116990.74","Regular Trade","","","","","","","3/13/24","0","278","","0","","","","","","","","","","","",""
"535423589","FALSE","LuminArx Opportunistic Alternative Solutions Holdings II Fund LP","MS PB","Portfolio Hedge_Tactical","SPDR S&P 500 ETF","SPY US Equity","1/31/24","2/2/24","Buy","361","488.62","-176393.62","Virtu Equity Algo","","-1.8","","-0.01","1/31/24 9:31:21 AM EST","176394","","","-1.8","-1.8","","","","","","0","","-1.8","","488.63","","","-176393.62","-176393.62","","","","","","","","","","","","","","","1","1","1","535423588","","","","","","","","","","","","","","","","TRUE","FALSE","[]","","0","FALSE","FALSE","488.62","361","Allocated","","","-0.5","Commission (Cents Per Share)","CommissionAutoCalc","0.005","","","","","","","","","","","","","Unknown","Unknown","","-1.805","-0.5","Commission (Cents Per Share)","","","","","","","","176391.82","-176391.82","diamant@luminarxcap.com","","","","","","","","","","","","USD","1/31/24 9:31:21 AM EST","","B","Buy","-176391.82","Regular Trade","","","","","","","3/13/24","0","361","","0","","","","","","","","","","","",""
"535423590","FALSE","LuminArx Pavo Holdings II LP","MS PB","Portfolio Hedge_Tactical","SPDR S&P 500 ETF","SPY US Equity","1/31/24","2/2/24","Buy","139","488.62","-67918.88","Virtu Equity Algo","","-0.69","","-0.01","1/31/24 9:31:21 AM EST","67919","","","-0.69","-0.69","","","","","","0","","-0.69","","488.63","","","-67918.88","-67918.88","","","","","","","","","","","","","","","1","1","1","535423588","","","","","","","","","","","","","","","","TRUE","FALSE","[]","","0","FALSE","FALSE","488.62","139","Allocated","","","-0.5","Commission (Cents Per Share)","CommissionAutoCalc","0.005","","","","","","","","","","","","","Unknown","Unknown","","-0.695","-0.5","Commission (Cents Per Share)","","","","","","","","67918.18","-67918.18","diamant@luminarxcap.com","","","","","","","","","","","","USD","1/31/24 9:31:21 AM EST","","B","Buy","-67918.18","Regular Trade","","","","","","","3/13/24","0","139","","0","","","","","","","","","","","",""
"535425058","FALSE","LuminArx Opportunistic Alternative Solutions Holdings II Fund LP","MS PB","Portfolio Hedge_Tactical","APPLE ORD","AAPL US Equity","1/31/24","2/2/24","Buy to Cover","723","186.35","-134731.05","Virtu Equity Algo","","-3.62","","-0.01","1/31/24 9:32:33 AM EST","134731","","","-3.62","-3.62","","","","","","0","","-3.62","","186.35","","","-134731.05","-134731.05","","","","","","","","","","","","","","","1","1","1","535425056","USD","MS - United States - Dummy","16007","","","","","","","","","","","","","TRUE","FALSE","[]","","0","FALSE","FALSE","186.345","723","Allocated","","","-0.5","Commission (Cents Per Share)","CommissionAutoCalc","0.005","","","","","","","","","","","","","Unknown","Unknown","","-3.615","-0.5","Commission (Cents Per Share)","","","","","","","","134727.43","-134727.43","diamant@luminarxcap.com","","","","","","","","","","","","USD","1/31/24 9:32:32 AM EST","","BC","BuyToCover","-134727.43","Regular Trade","","","","","","","3/13/24","0","723","","0","","","","","","","","","","","",""
"535425059","FALSE","LuminArx Pavo Holdings II LP","MS PB","Portfolio Hedge_Tactical","APPLE ORD","AAPL US Equity","1/31/24","2/2/24","Buy to Cover","277","186.35","-51618.95","Virtu Equity Algo","","-1.39","","-0.01","1/31/24 9:32:33 AM EST","51619","","","-1.39","-1.39","","","","","","0","","-1.39","","186.35","","","-51618.95","-51618.95","","","","","","","","","","","","","","","1","1","1","535425056","USD","MS - United States - Dummy","16007","","","","","","","","","","","","","TRUE","FALSE","[]","","0","FALSE","FALSE","186.345","277","Allocated","","","-0.5","Commission (Cents Per Share)","CommissionAutoCalc","0.005","","","","","","","","","","","","","Unknown","Unknown","","-1.385","-0.5","Commission (Cents Per Share)","","","","","","","","51617.57","-51617.57","diamant@luminarxcap.com","","","","","","","","","","","","USD","1/31/24 9:32:32 AM EST","","BC","BuyToCover","-51617.57","Regular Trade","","","","","","","3/13/24","0","277","","0","","","","","","","","","","","",""
"535425533","TRUE","LuminArx Opportunistic Alternative Solutions Holdings II Fund LP","MS PB","Portfolio Hedge_Tactical","TD SYNNEX ORD","SNX US Equity","1/31/24","2/2/24","Buy","722","100.94","-72882.07","Virtu Equity Algo","","-3.61","","-0.01","2/2/24 5:00:15 PM EST","72882","","","-3.61","-3.61","","","","","","0","","-3.61","","100.94","","","-72882.07","-72882.07","","","","","","","","","","","","","","","1","1","1","535425533","","","","","","","","","","","","","","Morgan Stanley","","TRUE","FALSE","[]","","0","FALSE","FALSE","100.9397","722","Allocated","","","-0.5","Commission (Cents Per Share)","CommissionAutoCalc","0.005","","","","","","","","","","","","","Unknown","Unknown","","-3.61","-0.5","Commission (Cents Per Share)","","","","","","","","72878.46","-72878.46","diamant@luminarxcap.com","","","","","","","","","","","","USD","1/31/24 9:33:14 AM EST","","B","Buy","-72878.46","Regular Trade","","","","","","","3/13/24","0","722","","0","","","","","","","","","","","",""
"535425534","TRUE","LuminArx Pavo Holdings II LP","MS PB","Portfolio Hedge_Tactical","TD SYNNEX ORD","SNX US Equity","1/31/24","2/2/24","Buy","278","100.94","-28062.63","Virtu Equity Algo","","-1.39","","-0.01","2/2/24 5:00:15 PM EST","28063","","","-1.39","-1.39","","","","","","0","","-1.39","","100.94","","","-28062.63","-28062.63","","","","","","","","","","","","","","","1","1","1","535425534","","","","","","","","","","","","","","Morgan Stanley","","TRUE","FALSE","[]","","0","FALSE","FALSE","100.9397","278","Allocated","","","-0.5","Commission (Cents Per Share)","CommissionAutoCalc","0.005","","","","","","","","","","","","","Unknown","Unknown","","-1.39","-0.5","Commission (Cents Per Share)","","","","","","","","28061.24","-28061.24","diamant@luminarxcap.com","","","","","","","","","","","","USD","1/31/24 9:33:14 AM EST","","B","Buy","-28061.24","Regular Trade","","","","","","","3/13/24","0","278","","0","","","","","","","","","","","",""
"535429740","FALSE","LuminArx Opportunistic Alternative Solutions Holdings II Fund LP","MS PB","IAS_Registered Block","INTEGRAL AD SCIENCE HOLDING ORD","IAS US Equity","1/31/24","2/2/24","Buy","3612","14.84","-53614","Virtu Equity Algo","","-18.06","","-0.01","1/31/24 11:22:35 AM EST","53614","","","-18.06","-18.06","","","","","","0","","-18.06","","14.84","","","-53614","-53614","","","","","","","","","","","","","","","1","1","1","535429739","","","","","","","","","","","","","","Morgan Stanley","","TRUE","FALSE","[]","","0","FALSE","FALSE","14.8383","3612","Allocated","","","-0.5","Commission (Cents Per Share)","CommissionAutoCalc","0.005","","","","","","","","","","","","","Unknown","Unknown","","-18.06","-0.5","Commission (Cents Per Share)","","","","","","","","53595.94","-53595.94","diamant@luminarxcap.com","","","","","","","","","","","","USD","1/31/24 9:39:39 AM EST","","B","Buy","-53595.94","Regular Trade","","","","","","","3/13/24","0","3612","","0","","","","","","","","","","","",""
"535429741","FALSE","LuminArx Pavo Holdings II LP","MS PB","IAS_Registered Block","INTEGRAL AD SCIENCE HOLDING ORD","IAS US Equity","1/31/24","2/2/24","Buy","1388","14.84","-20602.5","Virtu Equity Algo","","-6.94","","-0.01","1/31/24 11:22:35 AM EST","20603","","","-6.94","-6.94","","","","","","0","","-6.94","","14.84","","","-20602.5","-20602.5","","","","","","","","","","","","","","","1","1","1","535429739","","","","","","","","","","","","","","Morgan Stanley","","TRUE","FALSE","[]","","0","FALSE","FALSE","14.8383","1388","Allocated","","","-0.5","Commission (Cents Per Share)","CommissionAutoCalc","0.005","","","","","","","","","","","","","Unknown","Unknown","","-6.94","-0.5","Commission (Cents Per Share)","","","","","","","","20595.56","-20595.56","diamant@luminarxcap.com","","","","","","","","","","","","USD","1/31/24 9:39:39 AM EST","","B","Buy","-20595.56","Regular Trade","","","","","","","3/13/24","0","1388","","0","","","","","","","","","","","",""
